aic,bic,n_components,log-likelihood,entropy
346268.36333299725,346386.24064572225,1,-173120.18166649863,5.16514880946785
201593.68535134138,201837.8597848431,2,-100767.8426756707,3.0096784406975843
149812.35198427134,150182.82353854986,3,-74862.1759921357,2.2677550772055493
140350.81585940128,140847.58453445655,4,-70116.40792970062,2.12611854165751
99213.78013434116,99836.84593017318,5,-49532.89006717058,1.6019588008341468
87842.35945388384,88591.72237049261,6,-43832.17972694206,1.390976320299056
65112.91954037768,65988.57957776323,7,-32452.45977018882,1.0658201401618337
38076.70062181899,39078.657779981295,8,-18919.350310909347,0.6074899595748189
27953.998293042998,29082.252571982066,9,-13842.999146521448,0.45776060147764785
